127.0.0.1 - - [19/Jan/2018:11:14:21 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:23 +0900] "GET /shoppingmall/index.jsp HTTP/1.1" 200 12122
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 106015
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/bootstrap/css/bootstrap-responsive.min.css HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/css/bootstrappage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/js/jquery.scrolltotop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/js/superfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/css/flexslider.css HTTP/1.1" 200 3495
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/js/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/carousel/banner-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/ladies/1.jpg HTTP/1.1" 200 15475
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/carousel/banner-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/logo.png HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/cloth/bootstrap-women-ware4.jpg HTTP/1.1" 200 8369
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/cloth/bootstrap-women-ware2.jpg HTTP/1.1" 200 7146
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/ladies/5.jpg HTTP/1.1" 200 12264
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/feature_img_2.png HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/feature_img_3.png HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/js/jquery.flexslider-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/feature_img_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/bg.png HTTP/1.1" 200 95129
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/search.png HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/img/loader.gif HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/bg_h.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/line_bar.png HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/arrow-pleft.png HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/sprites.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/arrow-p.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:11:14:24 +0900] "GET /shoppingmall/themes/images/trigger_right.png HTTP/1.1" 404 1039
